Title,Title_url, Price 
LAVADORA SAMSUNG WA17T7G6DWW 17KG BLCA.,https://raenco.com/departamentos/hogar/linea-blanca/lav-sams-wa17t7g6dww-17kg-blca.html, $399.00 
LAVADORA SAMSUNG WA19T7G6DWW 19KG BLCA,https://raenco.com/departamentos/hogar/linea-blanca/lav-sams-wa19t7g6dww-19kg-blca.html, $449.00 
LAVADORA WHIRLPOOL 19KLS 7MWTW1904DM,https://raenco.com/departamentos/hogar/linea-blanca/lav-whp-19kls-7mwtw1904dm.html, $499.00 
ESTUFA EMPOTRABLE NISATO NPCT-851GSDM 30'' 5QUEM. P/HIERRO NEG.,https://raenco.com/departamentos/hogar/linea-blanca/est-emp-nisato-npct-851gsdm-30-5quem-p-hierro-neg.html, $279.00 
ESTUFA GAS HOTLINE 24 HLGR2420 4Q ACERO TAPA VIDRIO E/ELECT,https://raenco.com/departamentos/hogar/linea-blanca/est-gas-hotline-24-hlgr2420-4q-acero-tapa-vidrio-e-elect.html, $209.00 
ESTUFA A  GAS SAMSUNG NX52T5311LS/AP 30 6Q SILVER,https://raenco.com/departamentos/hogar/linea-blanca/est-gas-sams-nx52t5311ls-ap-30-6q-silver.html, $499.00 
ESTUFA EMPOTRABLE A GAS 36 WHIRLPOOL WP3550S,https://raenco.com/departamentos/hogar/linea-blanca/est-emp-gas-36-whp-wp3550s-acero-p-hierro-fund.html, $399.00 
ESTUFA EMPOTRABLE A  GAS 24  WHIRLPOOL WP2420S,https://raenco.com/departamentos/hogar/linea-blanca/est-emp-gas-24-whp-wp2420s-acero-p-hierro-fund.html, $199.00 
REFRIGERADORA SAMSUNG  RT35K5730SL 13 PIES CUBICOS,https://raenco.com/departamentos/hogar/linea-blanca/ref-sams-rt35k5730sl-13pc-gris-c-disp-inv.html, $519.00 
REFRIGERADORA SAMSUNG RT29K500JS8 11PC.  INV. ACERO,https://raenco.com/departamentos/hogar/linea-blanca/ref-sams-rt29k500js8-11pc-inv-acero.html, $419.00 
